city,region,MAE,RMSE,N
Maroua,Extreme-Nord,0.0458,0.0707,347.0
Guider,Nord,0.0462,0.0707,347.0
Mokolo,Extreme-Nord,0.0463,0.0721,347.0
Ngaoundere,Adamaoua,0.0464,0.0704,347.0
Garoua,Nord,0.0477,0.0702,347.0
Kousseri,Extreme-Nord,0.0488,0.0777,347.0
Tibati,Adamaoua,0.049,0.0716,347.0
Yagoua,Extreme-Nord,0.0491,0.0771,347.0
Touboro,Nord,0.0498,0.0736,347.0
Poli,Nord,0.0507,0.0753,347.0
Meiganga,Adamaoua,0.0518,0.0779,347.0
Tignere,Adamaoua,0.054,0.0805,347.0
Foumban,Ouest,0.0551,0.0862,347.0
Yaounde,Centre,0.0583,0.0857,347.0
Wum,Nord-Ouest,0.0584,0.0887,347.0
Kumbo,Nord-Ouest,0.0605,0.0854,347.0
Buea,Sud-Ouest,0.0618,0.0906,347.0
Mbouda,Ouest,0.0626,0.0912,347.0
Abong-Mbang,Est,0.0637,0.0935,347.0
Bamenda,Nord-Ouest,0.0638,0.0957,347.0
Mbalmayo,Centre,0.0638,0.0908,347.0
Ambam,Sud,0.0642,0.0915,347.0
Ebolowa,Sud,0.0642,0.0949,347.0
Mbengwi,Nord-Ouest,0.0661,0.0953,347.0
Nkongsamba,Littoral,0.0669,0.1001,347.0
Akonolinga,Centre,0.0672,0.0972,347.0
Bafoussam,Ouest,0.0679,0.0985,347.0
Douala,Littoral,0.0681,0.0982,347.0
Mamfe,Sud-Ouest,0.0684,0.0988,347.0
Yokadouma,Est,0.0686,0.0965,347.0
Loum,Littoral,0.0692,0.1001,347.0
Bertoua,Est,0.0693,0.0984,347.0
Sangmelima,Sud,0.0694,0.0992,347.0
Edea,Littoral,0.0701,0.0991,347.0
Dschang,Ouest,0.0716,0.1091,347.0
Kumba,Sud-Ouest,0.0723,0.1089,347.0
Limbe,Sud-Ouest,0.0728,0.1049,347.0
Batouri,Est,0.0741,0.1044,347.0
Kribi,Sud,0.0741,0.1089,347.0
Bafia,Centre,0.0759,0.1088,347.0
